ID,תאריך הגשת הבקשה,מס' סימוכין,חברה,סוג  היתר,מספר האתר,ישוב,כתובת + תאור,סוג המוקד,X_ITM,Y_ITM,תחום שיפוט
240,27/09/2023,2071776,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3549H,תל אביב-יפו,מיומנה,גג,176617,662282,תל אביב יפו
241,27/09/2023,2071775,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3324B,רחובות,קניון רחובות,גג,181949,644608,רחובות
242,27/09/2023,2071768,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3703A,תל אביב,"בניין הבימה שד' תרס""ט 2",גג,179292,664487,תל אביב יפו
243,27/09/2023,2071770,PHI (משרת את הוט ופרטנר),היתר הקמה,WI0742A,רמלה,בניין תעבורה,פנימי,189518,648707,רמלה
244,27/09/2023,2071774,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5674B,גן יבנה,קניון גן יבנה,גג,172146,633703,גן יבנה
245,27/09/2023,2071769,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3704A,תל אביב,"בניין הבימה שד' תרס""",גג,179292,664487,תל אביב יפו
246,27/09/2023,2071777,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3783A,רמת גן,רמת גן רזיאל,גג,183344,662522,רמת גן
247,10/8/2023,2071836,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3705C,רעננה,בית המילניום,גג,189316,677682,רעננה
248,10/8/2023,2071849,פלאפון,היתר הקמה,630711,דיר אל אסד,על בניין מגורים,עוקצים,225570,759592,שגור
249,10/8/2023,2071855,פלאפון,היתר הקמה,930664,אלפי מנשה,סמוך לשכונת גבעת טל,תורן קרקעי,202773,674803,אלפי מנשה
250,10/8/2023,2071834,PHI (משרת את הוט ופרטנר),היתר הקמה,NN1765A,עברון,עברון,קרקעי,210279,766234,מטה אשר
251,10/8/2023,2071833,PHI (משרת את הוט ופרטנר),היתר הקמה,NN1754A,מנוף,מנוף תורן סלקום,קרקעי,222889,750651,משגב
252,10/9/2023,2071881,סלקום,היתר הקמה,22890,רחובות,"קניון רחובות ברחוב ביל""ו 2 ברחובות",תורן על הגג ועוקץ,181949,644608,רחובות
253,15/10/2023,2071927,סלקום,היתר הקמה,22150,נצרת עלית,בזק הר יונה סמוך לרחוב מעלה יצחק נצרת עילית,תורן קרקעי,232262,736893,נצרת עילית
254,15/10/2023,2071906,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2323H,בית שמש,בית שמש,גג,199919,624583,בית שמש
255,16/10/2023,2071931,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5998A,דימונה,צומת ערוער,קרקעי,198319,562110,חסר מעמד
256,16/10/2023,2071929,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2014D,ירושלים,עמוד תאורה ארנונה צפון,קרקעי,221790,627707,ירושלים
257,16/10/2023,2071930,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2055D,ירושלים,פסגת זאב מזרח,קרקעי,224601,636244,ירושלים
258,18/10/2023,2071956,PHI (משרת את הוט ופרטנר),היתר הקמה,WI6361C,קרית אונו,הקריה האקדמית אונו בקרית אונו,פנימי,187389,660404,קרית אונו
259,18/10/2023,2071951,PHI (משרת את הוט ופרטנר),היתר הקמה,NC0517E,חיפה,מוריה 107,גג,199082,743915,חיפה
260,18/10/2023,2071955,PHI (משרת את הוט ופרטנר),היתר הקמה,CW3633,רמלה,פיקוד העורף רמלה,קרקעי,188625,647241,גזר
