ID,תאריך הגשת הבקשה,מס' סימוכין,חברה,סוג  היתר,מספר האתר,ישוב,כתובת + תאור,סוג המוקד,X_ITM,Y_ITM,תחום שיפוט
57,26/02/2023,2065321,PHI (משרת את הוט ופרטנר),היתר הקמה,COW6003,תל אביב-יפו,הבימה,קרקעי,179298,664455,תל אביב יפו
58,27/02/2023,2065554,PHI (משרת את הוט ופרטנר),היתר הקמה,NE4968C,אחיטוב,אחיטוב,קרקעי,198913,698739,עמק חפר
59,27/02/2023,2065558,PHI (משרת את הוט ופרטנר),היתר הקמה,WE0944B,מודיעין,אולם ספורט מודיעין,גג,200210,645559,מודיעין מכבים רעות
60,28/02/2023,2065570,PHI (משרת את הוט ופרטנר),היתר הקמה,COW6001,תל אביב,צומת בגין קפלן 2,קרקעי,180295,664276,תל אביב יפו
61,3/5/2023,2065642,PHI (משרת את הוט ופרטנר),היתר הקמה,WR8839B,אור יהודה,טרמינל סנטר אור יהודה,פנימי,186903,658651,אור יהודה
62,3/7/2023,2065672,PHI (משרת את הוט ופרטנר),היתר הקמה,WR8008C,רמת גן,מגדל טיים טאוור חניונים,פנימי,181344,665527,רמת גן
63,3/7/2023,2065677,סלקום,היתר הקמה,23074,עכו,בית הסטודנט במכללת גליל מערבי דרך המכללה עכו,תורן על הגג,208392,760235,עכו
64,3/12/2023,2065699,סלקום,היתר הקמה,7300,תל אביב- יפו,חניון סמולרשן רח`` ג``ורג`` ויז  תל אביב,אתר זעיר פנימי,181637,668478,תל אביב יפו
65,3/12/2023,2065701,סלקום,היתר הקמה,23083,בית שמש,ברחוב רבי יצחק נפחא במערב בית שמש,תורן קרקעי,196182,624109,בית שמש
66,3/12/2023,2065700,סלקום,היתר הקמה,22976,שומרון,חזון עובדיה במזרח ישוב עמנואל,תורן על הגג,213860,674083,עמנואל
67,13/03/2023,2065715,סלקום,היתר הקמה,22854,תל אביב - יפו,ברחוב יהודה בורלא 22 בתל אביב,עוקץ,180416,668287,תל אביב יפו
68,14/03/2023,2065740,פלאפון,היתר הקמה,314138,תל אביב יפו,דירת פנטהאוז בבניין מגורים רח' בורלא יהודה 22,עוקצים,180416,668285,תל אביב יפו
69,14/03/2023,2065743,פלאפון,היתר הקמה,354275,ראש העין,קיבוץ גלויות,תורן קרקעי,197257,666542,ראש העין
70,14/03/2023,2065741,פלאפון,היתר הקמה,344136,רמת גן,המעיין 3,פריסה פנימית,181331,665508,רמת גן
71,14/03/2023,2065727,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2324F,בית שמש,נחל קישון בית שמש,קרקעי,199184,624361,בית שמש
72,19/03/2023,2065851,סלקום,היתר הקמה,23029,חורה,מבנה מרכז קהילתי ברחוב אל-חרם בחורה,תורן על הגג,194023,578556,חורה
73,20/03/2023,2065865,סלקום,היתר הקמה,4026,תל אביב,בפארק מנחם בגין מזרח בתל אביב,תורן קרקעי,181753,661094,תל אביב יפו
74,21/03/2023,2065853,פלאפון,היתר הקמה,216809,ירושלים,אלבאבא,עוקצים,225396,630807,גוש עציון
75,23/03/2023,2065944,PHI (משרת את הוט ופרטנר),היתר הקמה,JN1135D,ירושלים,הר חוצבים עמוד תאורה,קרקעי,219589,634648,ירושלים
76,23/03/2023,2065945,PHI (משרת את הוט ופרטנר),היתר הקמה,JN1259A,כמהין,גוזל,קרקעי,142223,532326,רמת הנגב
77,28/03/2023,2066049,פלאפון,היתר הקמה,220033,גזר,סמוך למחצבות נשר,תורן קרקעי,192157,646580,גזר
78,29/03/2023,2066151,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2367E,רחלים - מדרשה,רחלים,קרקעי,224527,667796,רחלים
79,30/03/2023,2066109,סלקום,היתר הקמה,22989,אור יהודה,טרמינל סנטר אור יהודה (משטרת אור יהודה) רח`` יהדות קנדה 1 אור יהודה.,אתר זעיר פנימי,186894,658659,אור יהודה
80,30/03/2023,2066106,סלקום,היתר הקמה,22673,רמת גן,מגדל TIME TOWER ברח' המעיין 3 רמת גן.,אתר זעיר פנימי,181331,665508,רמת גן
81,30/03/2023,2066107,סלקום,היתר הקמה,22896,ירושלים,עמוד מצלמה עירוני ברחוב וינר אשר בירושלים,תורן קרקעי,221790,627707,ירושלים
82,30/03/2023,2066108,סלקום,היתר הקמה,22897,גוש עציון,בסמוך למגרש ספורט בישוב איבי נחל,תורן קרקעי,220771,612610,גוש עציון
83,4/2/2023,2066121,סלקום,היתר הקמה,23156,שטח ללא שיפוט,בסמוך לכיכר קוגל בין מקווה ישראל לחולון,תורן קרקעי,178861,659669,חולון
84,4/4/2023,2066132,פלאפון,היתר הקמה,216472,ירושלים,מתחם הר הרצל,עוקצים,216992,631383,ירושלים
85,16/04/2023,2066183,PHI (משרת את הוט ופרטנר),היתר הקמה,EI2385B,ירושלים,אצטדיון טדי ירושלים 4,פנימי,218240,629060,ירושלים
86,17/04/2023,2066221,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3131B,נס ציונה,החרש,גג,181371,647922,נס ציונה
87,18/04/2023,2066260,פלאפון,היתר הקמה,631110,צפת,צומת עכברה,תורן קרקעי,246549,761425,צפת
88,18/04/2023,2066261,פלאפון,היתר הקמה,634157,מרום הגליל,"מבנה הישיבה סמוך לחפ""ק",עוקצים,241494,765183,מירון
89,19/04/2023,2066182,PHI (משרת את הוט ופרטנר),היתר הקמה,EI2384B,ירושלים,אצטדיון טדי ירושלים 3,פנימי,218240,629060,ירושלים
90,20/04/2023,2069295,פלאפון,היתר הקמה,740817,ירוחם,צבי ברונשטיין,תורן על מבנה,193094,544082,ירוחם
91,23/04/2023,2069336,סלקום,היתר הקמה,23048,שומרון,בישוב רחלים בסמוך למגרש ספורט,תורן קרקעי,224527,667796,רחלים
92,23/04/2023,2069335,סלקום,היתר הקמה,22884,מודיעין עילית,ברחוב שער המלךבמודיעין עילית,תורן קרקעי,204191,648856,מודיעין עילית
93,23/04/2023,2069334,סלקום,היתר הקמה,22662,בית שמש,אליהו הנביא בפארק האותיות בבית שמש,תורן קרקעי,198802,623289,בית שמש
94,27/04/2023,2069357,PHI (משרת את הוט ופרטנר),היתר הקמה,MN4549D,מג'ד אל-כרום,מג'ד אל-כרום,קרקעי,225048,757844,שגור
95,27/04/2023,2069293,פלאפון,היתר הקמה,654838,יוקנעם,הזית 6,ממסר פנימי,207113,724897,מגידו
96,30/04/2023,2069427,סלקום,היתר הקמה,23139,אשדוד,המלאכה 1 אשדוד,תורן על הגג ועוקץ,168841,636359,אשדוד
97,30/04/2023,2069356,PHI (משרת את הוט ופרטנר),היתר הקמה,CN4444,ציפורי,ציפורי,קרקעי,225027,738986,עמק יזרעאל
98,30/04/2023,2069400,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2325F,בית שמש,רמת בית שמש ג קבוע,קרקעי,198802,623289,בית שמש
99,5/1/2023,2066299,PHI (משרת את הוט ופרטנר),היתר הקמה,SI5160C,אשדוד,מרכז שירות אורנג' אשדוד,פנימי,167373,635539,אשדוד
100,5/3/2023,2069443,PHI (משרת את הוט ופרטנר),היתר הקמה,COW6001,תל אביב,צומת בגין קפלן 2,קרקעי,180295,664276,תל אביב יפו
101,5/3/2023,2069469,פלאפון,היתר הקמה,216853,ירושלים,רח' וינר אשר,תורן קרקעי,221793,627707,ירושלים
102,5/8/2023,2069537,סלקום,היתר הקמה,22907,הר חברון,מגדל שמירה פילבוקס בצומת בין כביש 317 לכביש 3178,משתפלת,205921,586442,הר חברון
103,5/9/2023,2069560,סלקום,היתר הקמה,22896,ירושלים,עמוד מצלמה עירוני ברחוב וינר אשר בירושלים,תורן קרקעי,221790,627707,ירושלים
104,5/11/2023,2069596,סלקום,היתר הקמה,22645,ירושלים,ברחוב הרב שלום משאש בדרום-מזרח שכונת פסגת זאב בירושלים,תורן קרקעי,224602,636242,ירושלים
105,5/11/2023,2069595,סלקום,היתר הקמה,22013,חיפה,מלון לאונרדו חיפה,עוקץ,196288,745568,חיפה
106,14/05/2023,2069631,סלקום,היתר הקמה,23016,שפיר,בצמוד לכביש 40 בין צומת פלוגות לעוזה ובסמוך למאגר מים עוזה צפון,תורן קרקעי,176280,612926,שפיר
107,14/05/2023,2069629,סלקום,היתר הקמה,20592,הרצליה,צמרות 2 מרכז צמרות בהרצליה,אתר זעיר פנימי,185309,673190,הרצליה
108,14/05/2023,2069615,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2196D,ירושלים,אבו טור,מתקן גישה,222049,630022,ירושלים
109,14/05/2023,2069619,PHI (משרת את הוט ופרטנר),היתר הקמה,COW6005,תל אביב,חניון רפידים,קרקעי,182621,668322,תל אביב יפו
110,15/05/2023,2069633,PHI (משרת את הוט ופרטנר),היתר הקמה,WE0944B,מודיעין,אולם ספורט מודיעין,גג,200210,645559,מודיעין מכבים רעות
111,15/05/2023,2069642,סלקום,היתר הקמה,23246,כרמיאל,במרכז שירות סלקום רח`` מעלה כמון 2 כרמיאל,אתר זעיר פנימי,230389,759070,כרמיאל
112,15/05/2023,2069641,סלקום,היתר הקמה,23049,רמלה,ברחוב דני מס' 15 רמלה,תורן על הגג,187712,648375,רמלה
113,16/05/2023,2069653,פלאפון,היתר הקמה,216770,ירושלים,הרטום,תורן קרקעי,220411,634306,ירושלים
114,22/05/2023,2069768,סלקום,היתר הקמה,23209,ירושלים,בית אבות מוזס בית לחם 52 ירושלים,עוקץ,221065,629848,ירושלים
115,23/05/2023,2069819,סלקום,היתר הקמה,22874,קרית עקרון,בילו סנטר בקרית עקרון,תורן על הגג,182766,641158,קרית עקרון
116,23/05/2023,2069818,סלקום,היתר הקמה,1781,תל אביב,בחלק מזרחי של פארק הירקון,תורן קרקעי,182930,667645,תל אביב יפו
117,29/05/2023,2069799,PHI (משרת את הוט ופרטנר),היתר הקמה,CW60066008,תל אביב,פארק הירקון,קרקעי,182853,667891,תל אביב יפו
118,29/05/2023,2069878,PHI (משרת את הוט ופרטנר),היתר הקמה,RN4757B,כפר החורש,יער כפר החורש,קרקעי,224060,734690,עמק יזרעאל
119,30/05/2023,2069908,סלקום,היתר הקמה,23251,שטח ללא שיפוט,בפארק אריאל שרון הממוקם מערבית לכביש 4 וצפונית לכביש 1,עוקץ,183014,660046,חסר מעמד
121,31/05/2023,2069913,PHI (משרת את הוט ופרטנר),היתר הקמה,JS1106D,ירושלים,צומת גולומב,קרקעי,217333,629330,ירושלים
122,31/05/2023,2069922,פלאפון,היתר הקמה,120161,עמנואל,רח' חזון עובדיה,תורן על מבנה,213859,674082,עמנואל
123,31/05/2023,2069923,פלאפון,היתר הקמה,120433,שומרון,רחלים,תורן קרקעי,224527,667796,רחלים
124,6/1/2023,2069945,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2325G,בית שמש,רמת בית שמש ג פארק האותיות,קרקעי,198802,623289,בית שמש
125,6/4/2023,2070000,סלקום,היתר הקמה,66870,קרית אתא,חניון כיכר העירייה קרית אתא רח`` העצמאות 56 קרית אתא.,אתר זעיר פנימי,210121,745620,קרית אתא
126,6/4/2023,2069980,PHI (משרת את הוט ופרטנר),היתר הקמה,RN8128B,קרית אתא,חניון העירייה קריית אתא,פנימי,210121,745620,קרית אתא
127,6/6/2023,2070017,פלאפון,היתר הקמה,314139,תל אביב יפו,רח' חיים לבנון 2 מוזיאון הארץ  בניין פולקלור,עוקצים,180768,667577,תל אביב יפו
128,6/7/2023,2070032,סלקום,היתר הקמה,22589,יהוד,בסמוך לכביש 461 דרומית ליהוד-מונוסון,תורן קרקעי,190087,659240,יהוד מונוסון
129,6/7/2023,2070033,סלקום,היתר הקמה,22829,חריש,מזרחית לכביש 6 ודרומית לכביש 6353 חריש,תורן קרקעי,203760,708710,מנשה
130,13/06/2023,2070079,סלקום,היתר הקמה,23075,הר חברון,בסמוך ללולים צפונית לישוב כרמל,תורן קרקעי,218023,593691,הר חברון
131,14/06/2023,2070100,PHI (משרת את הוט ופרטנר),היתר הקמה,NS3847D,קלנסווה,קלנסווה מערב,גג,188384,688384,לב השרון
132,14/06/2023,2070167,פלאפון,היתר הקמה,360614,חולון,תחנת הרכבת יוספטל  על כביש 20,משתפלות,177653,658026,בת ים
133,19/06/2023,2070157,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3324A,רחובות,בילו 2 רחובות,גג,181949,644608,רחובות
134,19/06/2023,2070156,PHI (משרת את הוט ופרטנר),היתר הקמה,TS0065G,קרית עקרון,קרית עקרון מתחם בילו סנטר,גג,182766,641158,קרית עקרון
135,20/06/2023,2070201,פלאפון,היתר הקמה,314139,תל אביב יפו,רח' חיים לבנון 2 מוזיאון הארץ  בניין פולקלור,עוקצים,180768,667577,תל אביב יפו
136,21/06/2023,2070195,PHI (משרת את הוט ופרטנר),היתר הקמה,CN4444,ציפורי,ציפורי,קרקעי,225027,738986,עמק יזרעאל
137,22/06/2023,2070242,PHI (משרת את הוט ופרטנר),היתר הקמה,NC0601F,עכו,עין המפרץ תורן סלקום,קרקעי,209873,758274,מטה אשר
138,25/06/2023,2070289,פלאפון,היתר הקמה,935784,טירה,מוסך סאלם   א.ת.,תורן קרקעי,198289,681544,טירה
139,25/06/2023,2070281,PHI (משרת את הוט ופרטנר),היתר הקמה,NC4270D,קרית ביאליק,מחלף כרי נעמן,קרקעי,209542,753252,מטה אשר
140,26/06/2023,2070305,סלקום,היתר הקמה,22681,באר שבע,"שכונת הרקפות ב""ש",תורן קרקעי,177583,576289,חסר מעמד
141,27/06/2023,2070308,סלקום,היתר הקמה,7184,ירושלים,אמות הר חוצבים קרית המדע 11 ירושלים,אתר זעיר פנימי,219919,634387,ירושלים
142,28/06/2023,2070317,PHI (משרת את הוט ופרטנר),היתר הקמה,SO1939E,דימונה,צומת רותם על תורן סלקום,קרקעי,208804,549601,תמר
144,28/06/2023,2070311,PHI (משרת את הוט ופרטנר),היתר הקמה,NE0462C,אום אל פחם,קניון אום אל פחם,גג,214780,714434,אום אל פחם
145,28/06/2023,2070321,PHI (משרת את הוט ופרטנר),היתר הקמה,WE6261D,ראש העין,תחנת שאיבה ז שתפ סלקום,קרקעי,197500,665007,ראש העין
147,7/2/2023,2070413,סלקום,היתר הקמה,22900,ראש העין,בסמוך לתחנת שאיבה פסגות אפק ראש העין,תורן קרקעי,197500,665007,ראש העין
148,7/4/2023,2070451,סלקום,היתר הקמה,23172,אשדוד,מבנה גן העיר ברחוב גדוד העיברי באשדוד,עוקץ,165859,633312,אשדוד
149,7/4/2023,2070450,סלקום,היתר הקמה,22927,באר שבע,מוסך קלדרון ברחוב צאלים 41 בבאר שבע,תורן על הגג,182606,570620,באר שבע
150,7/5/2023,2070460,פלאפון,היתר הקמה,216852,ירושלים,חנוך אלבק,תורן קרקעי,221419,629828,ירושלים
151,7/6/2023,2070509,PHI (משרת את הוט ופרטנר),היתר הקמה,WE0175B,הרצליה,נתיבי ישראל מחלף מעפילים,קרקעי,183782,676166,הרצליה
152,7/6/2023,2070508,PHI (משרת את הוט ופרטנר),היתר הקמה,TS0418D,יבנה,רב בריח יבנה,גג,175834,641407,יבנה
153,7/6/2023,2070504,PHI (משרת את הוט ופרטנר),היתר הקמה,NC4377B,רמת ישי,קידמת רמת ישי,גג,215159,734616,רמת ישי
154,7/6/2023,2070453,PHI (משרת את הוט ופרטנר),היתר הקמה,EI2162C,ירושלים,הקריה האקדמית אונו ירושלים,פנימי,220389,628482,ירושלים
155,7/6/2023,2070506,PHI (משרת את הוט ופרטנר),היתר הקמה,NN1767A,כפר זיתים,נבי שועייב,גג,242595,745775,הגליל התחתון
156,7/10/2023,2070554,PHI (משרת את הוט ופרטנר),היתר הקמה,RN8007B,נתניה,חניון נתן יונתן 2 נתניה,פנימי,185118,687184,נתניה
157,7/11/2023,2070561,סלקום,היתר הקמה,23245,נתניה,חניון נתן יונתן רח`` נתן יונתן 2+4+6 נתניה,אתר זעיר פנימי,185111,687153,נתניה
158,13/07/2023,2070612,פלאפון,היתר הקמה,925068,טירה,צפון מרכז טירה שאדי,עוקצים,195839,683393,טירה
159,13/07/2023,2070611,פלאפון,היתר הקמה,925030,נתניה,רח' הר ציון 6,תורן על מבנה,186461,692496,נתניה
160,13/07/2023,2070610,פלאפון,היתר הקמה,925009,טירה,טירה צפון מזרח,עוקצים,196751,682983,טירה
161,13/07/2023,2070591,פלאפון,היתר הקמה,220299,מטה יהודה,שער הגיא . נקרא גם שוב-3,פריסה פנימית,200334,639752,מטה בנימין
162,13/07/2023,2070613,פלאפון,היתר הקמה,925069,נתניה,נתן יונתן 4,פריסה פנימית,185111,687153,נתניה
163,16/07/2023,2070643,פלאפון,היתר הקמה,812577,לוד,בר כוכבא 2,תורן על מבנה,190440,651313,לוד
164,16/07/2023,2070637,פלאפון,היתר הקמה,131207,בית אל,"רח' מעגלי הרא""ה",תורן על מבנה,221063,650066,בית אל
165,16/07/2023,2070640,פלאפון,היתר הקמה,333038,תל אביב יפו,המסגר 35,פריסה פנימית,179883,663558,תל אביב יפו
166,17/07/2023,2070666,PHI (משרת את הוט ופרטנר),היתר הקמה,NN4721D,עכו,מקום בים עכו מאקרו,גג,206825,759277,עכו
167,25/07/2023,2070735,פלאפון,היתר הקמה,824231,אשדוד,אבות ישורון 4,עוקצים,166855,633822,אשדוד
169,26/07/2023,2070782,פלאפון,היתר הקמה,216870,ירושלים,מהנדס,פריסה פנימית,222232,634849,ירושלים
170,26/07/2023,2070804,סלקום,היתר הקמה,20005,ירושלים,מלון עץ הזית רח' סנט ג'ורג' 23 ירושלים.,אתר זעיר פנימי,221696,633007,ירושלים
171,30/07/2023,2070748,PHI (משרת את הוט ופרטנר),היתר הקמה,NE1811G,אום אל פחם,אום אל פאחם,גג,214031,715510,אום אל פחם
172,30/07/2023,2070756,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3871E,פתח-תקווה,רמת ורבר,גג,188602,666056,פתח תקווה
173,30/07/2023,2070863,PHI (משרת את הוט ופרטנר),היתר הקמה,NC4270D,קרית ביאליק,מחלף כרי נעמן,קרקעי,209542,753252,מטה אשר
174,30/07/2023,2070752,PHI (משרת את הוט ופרטנר),היתר הקמה,NN1845A,אפיקים,קיבוץ אפיקים,קרקעי,205812,732929,דאלית אל כרמל עספיא
175,30/07/2023,2070751,PHI (משרת את הוט ופרטנר),היתר הקמה,NN1756A,בענה,בענה,גג,225570,759592,שגור
176,30/07/2023,2070742,PHI (משרת את הוט ופרטנר),היתר הקמה,EI2001D,ירושלים,מנהרות הגבעה הצרפתית ירושלים,פנימי,222232,634849,ירושלים
177,31/07/2023,2070928,סלקום,היתר הקמה,23187,ירושלים,במנהרות הגבעה הצרפתית: שתי מנהרות מציר יגאל ידין לכיוון מעלה אדומים ובחזרה שתי מנהרות לכיוון שכונת ,אתר זעיר פנימי,222232,634849,ירושלים
178,31/07/2023,2070916,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3065D,רמת גן,בית אבות משען רמת אפעל,גג,184714,662135,רמת אפעל
179,31/07/2023,2070917,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3499D,כפר סבא,תורן פלאפון נורדאו כפר סבא,קרקעי,192436,674927,הוד השרון
180,31/07/2023,2070914,PHI (משרת את הוט ופרטנר),היתר הקמה,NN1822C,אתר דרך,פארק תעשיה קדמת גליל,קרקעי,242982,743078,פארק תעשיות הגליל התחתון
181,8/2/2023,2070959,פלאפון,היתר הקמה,711731,בני שמעון,סילו  קיבוץ  דבירה,משתפלת,183442,591170,בני שמעון
182,8/6/2023,2071005,PHI (משרת את הוט ופרטנר),היתר הקמה,WE0238E,תל אביב-יפו,חניון רובינשטיין,גג,179603,663630,תל אביב יפו
183,8/9/2023,2071092,סלקום,היתר הקמה,22928,חבל מודיעין,צפונית למושב בני עטרות,תורן קרקעי,192123,659770,חבל מודיעין
184,8/10/2023,2071100,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2031C,ירושלים,בית לחם 5,גג,221061,629850,ירושלים
185,8/10/2023,2071099,PHI (משרת את הוט ופרטנר),היתר הקמה,WE5447C,נס ציונה,בית עלמין נס ציונה,קרקעי,180777,646273,נס ציונה
186,8/10/2023,2071098,PHI (משרת את הוט ופרטנר),היתר הקמה,NC0909H,טירת כרמל,תעש חיפה פארק עופר שתפ סלקום,קרקעי,196323,743024,טירת כרמל
187,8/10/2023,2071097,PHI (משרת את הוט ופרטנר),היתר הקמה,JN2157C,ירושלים,פסגת זאב חניון אוטובוסים,קרקעי,223033,637873,ירושלים
189,13/08/2023,2071123,סלקום,היתר הקמה,22726,גוש עציון,מערבית לכביש 60 ודרומית לכביש 375     שדה בועז,תורן קרקעי,214427,623325,גוש עציון
190,14/08/2023,2071129,PHI (משרת את הוט ופרטנר),היתר הקמה,NC4733E,חיפה,בית אלפא קרית חיים,גג,248746,748746,מגדל
191,14/08/2023,2071134,PHI (משרת את הוט ופרטנר),היתר הקמה,WE0966C,גבעתיים,גבעתיים רמה,גג,182750,664400,גבעתיים
192,14/08/2023,2071125,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2053E,ירושלים,בית אבות,גג,216913,629783,ירושלים
193,14/08/2023,2071128,PHI (משרת את הוט ופרטנר),היתר הקמה,NC4377B,רמת ישי,קידמת רמת ישי,גג,215159,734616,רמת ישי
194,15/08/2023,2071147,סלקום,היתר הקמה,23275,גוש עציון,מזרחית לכביש 60 ומזרחית לכרמי צור,תורן קרקעי,211068,612993,גוש עציון
195,15/08/2023,2071139,PHI (משרת את הוט ופרטנר),היתר הקמה,JC1059C,ירושלים,בית חולים הדסה שתפ פלאפון,גג,214285,630285,ירושלים
196,15/08/2023,2071146,סלקום,היתר הקמה,23033,גוש עציון,צומת ה-T גוש עציון בצומת כביש 356 וכביש 3157,תורן קרקעי,219296,616375,גוש עציון
197,16/08/2023,2071180,פלאפון,היתר הקמה,824325,אשדוד,בית האופרה רח' האורגים 25,תורן על מבנה,167431,635698,אשדוד
199,16/08/2023,2071179,פלאפון,היתר הקמה,820717,יבנה,קניון קנדי סנטר שדרות דוהני 46,תורן על מבנה,175945,641840,יבנה
